id	Protein_Name	Accession_Number	Identified_Peptide_Count	Protein_Group_Score	Description	Gene_name	Uniprot_ID
101	tr|F1P201|F1P201_CHICK Uncharacterized protein OS=Gallus gallus (Chicken) OX=9031 GN=VCAM1 PE=4 SV=2	tr|F1P201|F1P201_CHICK	13	0.9999999332429965	Uncharacterized protein	VCAM1	F1P201
102	tr|A0A3Q3AT29|A0A3Q3AT29_CHICK PPIase cyclophilin-type domain-containing protein OS=Gallus gallus (Chicken) OX=9031 GN=PPIA PE=4 SV=1	tr|A0A3Q3AT29|A0A3Q3AT29_CHICK	3	0.9999999281042022	PPIase cyclophilin-type domain-containing protein	PPIA	A0A3Q3AT29
103	sp|P41263|RET4_CHICK Retinol-binding protein 4 OS=Gallus gallus (Chicken) OX=9031 GN=RBP4 PE=1 SV=1	sp|P41263|RET4_CHICK	8	0.9999999235554	Retinol-binding protein 4	RBP4	P41263
104	tr|A0A1D5PXP9|A0A1D5PXP9_CHICK Uncharacterized protein OS=Gallus gallus (Chicken) OX=9031 GN=TGFBI PE=4 SV=2	tr|A0A1D5PXP9|A0A1D5PXP9_CHICK	21	0.9999999208656973	Uncharacterized protein	TGFBI	A0A1D5PXP9
105	Group of tr|A0A3Q2TY60|A0A3Q2TY60_CHICK Ig-like domain-containing protein OS=Gallus gallus (Chicken) OX=9031 GN=ENSGALG00000054236 PE=4 SV=1	tr|A0A3Q2TY60|A0A3Q2TY60_CHICK (+2)	3	0.9999999169137013	Ig-like domain-containing protein	ENSGALG00000054236	A0A3Q2TY60
106	tr|E1C7C1|E1C7C1_CHICK MACPF domain-containing protein OS=Gallus gallus (Chicken) OX=9031 GN=C8B PE=4 SV=2	tr|E1C7C1|E1C7C1_CHICK	18	0.9999999077895012	MACPF domain-containing protein	C8B	E1C7C1
107	tr|E1C8A1|E1C8A1_CHICK Uncharacterized protein OS=Gallus gallus (Chicken) OX=9031 GN=MST1 PE=3 SV=4	tr|E1C8A1|E1C8A1_CHICK	26	0.9999999030195994	Uncharacterized protein	MST1	E1C8A1
108	sp|Q5ZLN1|PGAM1_CHICK Phosphoglycerate mutase 1 OS=Gallus gallus (Chicken) OX=9031 GN=PGAM1 PE=1 SV=3	sp|Q5ZLN1|PGAM1_CHICK	11	0.9999999008350002	Phosphoglycerate mutase 1	PGAM1	Q5ZLN1
109	tr|A0A3Q2UFL0|A0A3Q2UFL0_CHICK IGv domain-containing protein OS=Gallus gallus (Chicken) OX=9031 GN=ENSGALG00000048283 PE=4 SV=1	tr|A0A3Q2UFL0|A0A3Q2UFL0_CHICK	1	0.9999998957050025	IGv domain-containing protein	ENSGALG00000048283	A0A3Q2UFL0
110	tr|F1NH19|F1NH19_CHICK C1q domain-containing protein OS=Gallus gallus (Chicken) OX=9031 GN=C1QB PE=4 SV=3	tr|F1NH19|F1NH19_CHICK	3	0.999999861827007	C1q domain-containing protein	C1QB	F1NH19
111	tr|E1C8N1|E1C8N1_CHICK Uncharacterized protein OS=Gallus gallus (Chicken) OX=9031 GN=COMP PE=4 SV=2	tr|E1C8N1|E1C8N1_CHICK	21	0.9999998545609969	Uncharacterized protein	COMP	E1C8N1
112	tr|A0A3Q2TXP7|A0A3Q2TXP7_CHICK Ig-like domain-containing protein OS=Gallus gallus (Chicken) OX=9031 GN=ENSGALG00000051509 PE=4 SV=1	tr|A0A3Q2TXP7|A0A3Q2TXP7_CHICK	3	0.9999998469610034	Ig-like domain-containing protein	ENSGALG00000051509	A0A3Q2TXP7
113	sp|P11682|APOB_CHICK Apolipoprotein B OS=Gallus gallus (Chicken) OX=9031 GN=APOB PE=2 SV=1	sp|P11682|APOB_CHICK	19	0.9999998451019962	Apolipoprotein B	APOB	P11682
114	tr|F1NXB6|F1NXB6_CHICK Peptidase_M14 domain-containing protein OS=Gallus gallus (Chicken) OX=9031 GN=CPB2 PE=4 SV=3	tr|F1NXB6|F1NXB6_CHICK	10	0.9999998386469997	Peptidase_M14 domain-containing protein	CPB2	F1NXB6
115	tr|E1C6L4|E1C6L4_CHICK Protein S OS=Gallus gallus (Chicken) OX=9031 GN=PROS1 PE=4 SV=2	tr|E1C6L4|E1C6L4_CHICK	15	0.999999829619	Protein S	PROS1	E1C6L4
116	tr|A0A3Q2U5V5|A0A3Q2U5V5_CHICK Ig-like domain-containing protein OS=Gallus gallus (Chicken) OX=9031 GN=ENSGALG00000049186 PE=4 SV=1	tr|A0A3Q2U5V5|A0A3Q2U5V5_CHICK	5	0.9999998084229986	Ig-like domain-containing protein	ENSGALG00000049186	A0A3Q2U5V5
117	sp|P21611|B2MG_CHICK Beta-2-microglobulin OS=Gallus gallus (Chicken) OX=9031 GN=B2M PE=1 SV=3	sp|P21611|B2MG_CHICK	3	0.9999997918509962	Beta-2-microglobulin	B2M	P21611
118	sp|P81475|CFBL_CHICK Complement factor B-like protease OS=Gallus gallus (Chicken) OX=9031 GN=- PE=1 SV=1	sp|P81475|CFBL_CHICK	4	0.9999997769789957	Complement factor B-like protease	-	P81475
119	tr|A0A3Q2U1A2|A0A3Q2U1A2_CHICK Ig-like domain-containing protein OS=Gallus gallus (Chicken) OX=9031 GN=ENSGALG00000053057 PE=4 SV=1	tr|A0A3Q2U1A2|A0A3Q2U1A2_CHICK	2	0.9999997669069955	Ig-like domain-containing protein	ENSGALG00000053057	A0A3Q2U1A2
120	tr|A0A3Q2UC01|A0A3Q2UC01_CHICK Carboxylic ester hydrolase OS=Gallus gallus (Chicken) OX=9031 GN=BCHE PE=3 SV=1	tr|A0A3Q2UC01|A0A3Q2UC01_CHICK	14	0.9999997614469862	Carboxylic ester hydrolase	BCHE	A0A3Q2UC01
121	tr|A0A3Q2UF48|A0A3Q2UF48_CHICK Peptidase S1 domain-containing protein OS=Gallus gallus (Chicken) OX=9031 GN=ENSGALG00000054981 PE=4 SV=1	tr|A0A3Q2UF48|A0A3Q2UF48_CHICK	6	0.9999997491570127	Peptidase S1 domain-containing protein	ENSGALG00000054981	A0A3Q2UF48
122	tr|A0A5H1ZRK9|A0A5H1ZRK9_CHICK Fibrillar collagen NC1 domain-containing protein OS=Gallus gallus (Chicken) OX=9031 GN=COL2A1 PE=4 SV=1	tr|A0A5H1ZRK9|A0A5H1ZRK9_CHICK	11	0.9999997485550125	Fibrillar collagen NC1 domain-containing protein	COL2A1	A0A5H1ZRK9
123	tr|A0A3Q2U321|A0A3Q2U321_CHICK Uncharacterized protein OS=Gallus gallus (Chicken) OX=9031 GN=POSTN PE=4 SV=1	tr|A0A3Q2U321|A0A3Q2U321_CHICK	24	0.9999997283090067	Uncharacterized protein	POSTN	A0A3Q2U321
124	tr|F1N803|F1N803_CHICK Uncharacterized protein OS=Gallus gallus (Chicken) OX=9031 GN=C1S PE=3 SV=3	tr|F1N803|F1N803_CHICK	20	0.9999997278129911	Uncharacterized protein	C1S	F1N803
125	tr|A0A1D5PE74|A0A1D5PE74_CHICK Fibrillar collagen NC1 domain-containing protein OS=Gallus gallus (Chicken) OX=9031 GN=COL5A1 PE=4 SV=2	tr|A0A1D5PE74|A0A1D5PE74_CHICK	7	0.9999997247439865	Fibrillar collagen NC1 domain-containing protein	COL5A1	A0A1D5PE74
126	tr|A0A3Q2TXS3|A0A3Q2TXS3_CHICK Ig-like domain-containing protein OS=Gallus gallus (Chicken) OX=9031 GN=ENSGALG00000049486 PE=4 SV=1	tr|A0A3Q2TXS3|A0A3Q2TXS3_CHICK	3	0.9999997186669987	Ig-like domain-containing protein	ENSGALG00000049486	A0A3Q2TXS3
127	tr|F1NSD3|F1NSD3_CHICK Ig-like domain-containing protein OS=Gallus gallus (Chicken) OX=9031 GN=ENSGALG00000048383 PE=4 SV=4	tr|F1NSD3|F1NSD3_CHICK	2	0.9999997185350082	Ig-like domain-containing protein	ENSGALG00000048383	F1NSD3
128	tr|A0A3Q2U717|A0A3Q2U717_CHICK Uncharacterized protein OS=Gallus gallus (Chicken) OX=9031 GN=ENSGALG00000002643 PE=4 SV=1	tr|A0A3Q2U717|A0A3Q2U717_CHICK	7	0.9999997035590127	Uncharacterized protein	ENSGALG00000002643	A0A3Q2U717
129	tr|A0A1D5PEY8|A0A1D5PEY8_CHICK Lipocln_cytosolic_FA-bd_dom domain-containing protein OS=Gallus gallus (Chicken) OX=9031 GN=C8G PE=3 SV=2	tr|A0A1D5PEY8|A0A1D5PEY8_CHICK	9	0.9999996762709884	Lipocln_cytosolic_FA-bd_dom domain-containing protein	C8G	A0A1D5PEY8
130	tr|A0A1D5PLZ2|A0A1D5PLZ2_CHICK SERPIN domain-containing protein OS=Gallus gallus (Chicken) OX=9031 GN=SERPIND1 PE=3 SV=1	tr|A0A1D5PLZ2|A0A1D5PLZ2_CHICK	17	0.9999996636759931	SERPIN domain-containing protein	SERPIND1	A0A1D5PLZ2
131	tr|F1N869|F1N869_CHICK Uncharacterized protein OS=Gallus gallus (Chicken) OX=9031 GN=CSF1R PE=3 SV=2	tr|F1N869|F1N869_CHICK	10	0.9999996380880134	Uncharacterized protein	CSF1R	F1N869
132	Group of sp|Q90997|TFR1_CHICK Transferrin receptor protein 1 OS=Gallus gallus (Chicken) OX=9031 GN=TFRC PE=2 SV=2	sp|Q90997|TFR1_CHICK (+1)	20	0.9999996130759996	Transferrin receptor protein 1	TFRC	Q90997
133	tr|A0A1D5PEA7|A0A1D5PEA7_CHICK Uncharacterized protein OS=Gallus gallus (Chicken) OX=9031 GN=GIF PE=4 SV=3	tr|A0A1D5PEA7|A0A1D5PEA7_CHICK	2	0.9999996068330006	Uncharacterized protein	GIF	A0A1D5PEA7
134	Group of sp|P07898|PGCA_CHICK Aggrecan core protein OS=Gallus gallus (Chicken) OX=9031 GN=ACAN PE=1 SV=2	sp|P07898|PGCA_CHICK (+1)	18	0.9999995787910052	Aggrecan core protein	ACAN	P07898
135	tr|R4GG01|R4GG01_CHICK LRRCT domain-containing protein OS=Gallus gallus (Chicken) OX=9031 GN=CPN2 PE=4 SV=4	tr|R4GG01|R4GG01_CHICK	9	0.9999995531580055	LRRCT domain-containing protein	CPN2	R4GG01
136	tr|Q90998|Q90998_CHICK ZP domain-containing protein OS=Gallus gallus (Chicken) OX=9031 GN=TGFBR3 PE=1 SV=1	tr|Q90998|Q90998_CHICK	9	0.9999995367620045	ZP domain-containing protein	TGFBR3	Q90998
137	tr|A0A3Q2UFV8|A0A3Q2UFV8_CHICK Glyco_transf_64 domain-containing protein OS=Gallus gallus (Chicken) OX=9031 GN=EXTL2 PE=4 SV=1	tr|A0A3Q2UFV8|A0A3Q2UFV8_CHICK	5	0.9999995357040063	Glyco_transf_64 domain-containing protein	EXTL2	A0A3Q2UFV8
138	tr|A0A3Q3APB3|A0A3Q3APB3_CHICK Uncharacterized protein OS=Gallus gallus (Chicken) OX=9031 GN=LOC101748084 PE=4 SV=1	tr|A0A3Q3APB3|A0A3Q3APB3_CHICK	6	0.9999995153920054	Uncharacterized protein	LOC101748084	A0A3Q3APB3
139	tr|A0A3Q2TZ57|A0A3Q2TZ57_CHICK Ig-like domain-containing protein OS=Gallus gallus (Chicken) OX=9031 GN=ENSGALG00000050376 PE=4 SV=1	tr|A0A3Q2TZ57|A0A3Q2TZ57_CHICK	3	0.9999994676450115	Ig-like domain-containing protein	ENSGALG00000050376	A0A3Q2TZ57
140	Group of sp|P12106|CO9A1_CHICK Collagen alpha-1(IX) chain OS=Gallus gallus (Chicken) OX=9031 GN=COL9A1 PE=1 SV=4	sp|P12106|CO9A1_CHICK (+1)	9	0.9999993550119939	Collagen alpha-1(IX) chain	COL9A1	P12106
141	tr|A0A3Q2U343|A0A3Q2U343_CHICK Ig-like domain-containing protein OS=Gallus gallus (Chicken) OX=9031 GN=ENSGALG00000052260 PE=4 SV=1	tr|A0A3Q2U343|A0A3Q2U343_CHICK	5	0.9999993327319885	Ig-like domain-containing protein	ENSGALG00000052260	A0A3Q2U343
142	Group of sp|P02467|CO1A2_CHICK Collagen alpha-2(I) chain OS=Gallus gallus (Chicken) OX=9031 GN=COL1A2 PE=1 SV=3	sp|P02467|CO1A2_CHICK (+1)	12	0.9999993273440282	Collagen alpha-2(I) chain	COL1A2	P02467
143	sp|Q8AYD0|CADH5_CHICK Cadherin-5 OS=Gallus gallus (Chicken) OX=9031 GN=CDH5 PE=1 SV=2	sp|Q8AYD0|CADH5_CHICK	10	0.9999993263569991	Cadherin-5	CDH5	Q8AYD0
144	tr|A0A3Q3AR07|A0A3Q3AR07_CHICK Collagen alpha-3(VI) chain OS=Gallus gallus (Chicken) OX=9031 GN=COL6A3 PE=4 SV=1	tr|A0A3Q3AR07|A0A3Q3AR07_CHICK	31	0.9999993252220065	Collagen alpha-3(VI) chain	COL6A3	A0A3Q3AR07
145	tr|E1BZN8|E1BZN8_CHICK HGF activator OS=Gallus gallus (Chicken) OX=9031 GN=F12 PE=3 SV=3	tr|E1BZN8|E1BZN8_CHICK	12	0.9999993221480281	HGF activator	F12	E1BZN8
146	tr|A0A1D5P703|A0A1D5P703_CHICK P-type domain-containing protein OS=Gallus gallus (Chicken) OX=9031 GN=MGAM PE=4 SV=2	tr|A0A1D5P703|A0A1D5P703_CHICK	13	0.9999992952730281	P-type domain-containing protein	MGAM	A0A1D5P703
147	sp|Q90611|MMP2_CHICK 72 kDa type IV collagenase OS=Gallus gallus (Chicken) OX=9031 GN=MMP2 PE=1 SV=1	sp|Q90611|MMP2_CHICK	14	0.9999992872590155	72 kDa type IV collagenase	MMP2	Q90611
148	tr|A0A3Q3A829|A0A3Q3A829_CHICK MHC_II_alpha domain-containing protein OS=Gallus gallus (Chicken) OX=9031 GN=ENSGALG00000051101 PE=4 SV=1	tr|A0A3Q3A829|A0A3Q3A829_CHICK	1	0.999999283959994	MHC_II_alpha domain-containing protein	ENSGALG00000051101	A0A3Q3A829
149	tr|A0A1L1RNS0|A0A1L1RNS0_CHICK Alpha-enolase OS=Gallus gallus (Chicken) OX=9031 GN=ENO1 PE=3 SV=1	tr|A0A1L1RNS0|A0A1L1RNS0_CHICK	11	0.9999992832849784	Alpha-enolase	ENO1	A0A1L1RNS0
150	tr|F1NPN5|F1NPN5_CHICK SERPIN domain-containing protein OS=Gallus gallus (Chicken) OX=9031 GN=SPIA3 PE=3 SV=4	tr|F1NPN5|F1NPN5_CHICK	16	0.999999274211973	SERPIN domain-containing protein	SPIA3	F1NPN5
151	tr|F1NI07|F1NI07_CHICK LRRNT domain-containing protein OS=Gallus gallus (Chicken) OX=9031 GN=ENSGALG00000002325 PE=4 SV=4	tr|F1NI07|F1NI07_CHICK	13	0.9999992451669755	LRRNT domain-containing protein	ENSGALG00000002325	F1NI07
152	tr|F1NLP7|F1NLP7_CHICK SERPIN domain-containing protein OS=Gallus gallus (Chicken) OX=9031 GN=SERPINC1 PE=3 SV=2	tr|F1NLP7|F1NLP7_CHICK	22	0.9999992415420138	SERPIN domain-containing protein	SERPINC1	F1NLP7
153	tr|A0A1D5PQ63|A0A1D5PQ63_CHICK Uncharacterized protein OS=Gallus gallus (Chicken) OX=9031 GN=ENPP2 PE=4 SV=1	tr|A0A1D5PQ63|A0A1D5PQ63_CHICK	15	0.9999992128250028	Uncharacterized protein	ENPP2	A0A1D5PQ63
154	tr|A0A1D5P0A1|A0A1D5P0A1_CHICK UTP--glucose-1-phosphate uridylyltransferase OS=Gallus gallus (Chicken) OX=9031 GN=UGP2 PE=3 SV=1	tr|A0A1D5P0A1|A0A1D5P0A1_CHICK	15	0.9999991683899907	UTP--glucose-1-phosphate uridylyltransferase	UGP2	A0A1D5P0A1
155	tr|A0A1D5PIT4|A0A1D5PIT4_CHICK Lipocln_cytosolic_FA-bd_dom domain-containing protein OS=Gallus gallus (Chicken) OX=9031 GN=PTGDS PE=3 SV=1	tr|A0A1D5PIT4|A0A1D5PIT4_CHICK	6	0.9999991676630202	Lipocln_cytosolic_FA-bd_dom domain-containing protein	PTGDS	A0A1D5PIT4
156	sp|P00940|TPIS_CHICK Triosephosphate isomerase OS=Gallus gallus (Chicken) OX=9031 GN=TPI1 PE=1 SV=2	sp|P00940|TPIS_CHICK	11	0.9999991426630004	Triosephosphate isomerase	TPI1	P00940
157	tr|A0A3Q2UNW5|A0A3Q2UNW5_CHICK Interleukin 1 receptor accessory protein OS=Gallus gallus (Chicken) OX=9031 GN=IL1RAP PE=4 SV=1	tr|A0A3Q2UNW5|A0A3Q2UNW5_CHICK	10	0.999999123900011	Interleukin 1 receptor accessory protein	IL1RAP	A0A3Q2UNW5
158	tr|A0A3Q2UFM0|A0A3Q2UFM0_CHICK Uncharacterized protein OS=Gallus gallus (Chicken) OX=9031 GN=ENSGALG00000052566 PE=4 SV=1	tr|A0A3Q2UFM0|A0A3Q2UFM0_CHICK	1	0.9999991228049794	Uncharacterized protein	ENSGALG00000052566	A0A3Q2UFM0
159	tr|A0A1L1RQ91|A0A1L1RQ91_CHICK Glucose-6-phosphate isomerase OS=Gallus gallus (Chicken) OX=9031 GN=GPI PE=3 SV=2	tr|A0A1L1RQ91|A0A1L1RQ91_CHICK	18	0.9999991065499785	Glucose-6-phosphate isomerase	GPI	A0A1L1RQ91
160	tr|F1NPJ8|F1NPJ8_CHICK Uncharacterized protein OS=Gallus gallus (Chicken) OX=9031 GN=GPX3 PE=4 SV=3	tr|F1NPJ8|F1NPJ8_CHICK	7	0.9999990934949778	Uncharacterized protein	GPX3	F1NPJ8
161	tr|A0A3Q2UGI5|A0A3Q2UGI5_CHICK Ig-like domain-containing protein OS=Gallus gallus (Chicken) OX=9031 GN=ENSGALG00000049025 PE=4 SV=1	tr|A0A3Q2UGI5|A0A3Q2UGI5_CHICK	4	0.9999990290459664	Ig-like domain-containing protein	ENSGALG00000049025	A0A3Q2UGI5
162	tr|O42404|O42404_CHICK ICOS ligand OS=Gallus gallus (Chicken) OX=9031 GN=LICOS PE=2 SV=1	tr|O42404|O42404_CHICK	5	0.9999989866299757	ICOS ligand	LICOS	O42404
163	tr|A0A1L1RPW4|A0A1L1RPW4_CHICK Collagen alpha-1(XII) chain OS=Gallus gallus (Chicken) OX=9031 GN=COL12A1 PE=4 SV=1	tr|A0A1L1RPW4|A0A1L1RPW4_CHICK	55	0.999998983529963	Collagen alpha-1(XII) chain	COL12A1	A0A1L1RPW4
164	tr|A0A3Q2U5M8|A0A3Q2U5M8_CHICK Ig-like domain-containing protein OS=Gallus gallus (Chicken) OX=9031 GN=ENSGALG00000047227 PE=4 SV=1	tr|A0A3Q2U5M8|A0A3Q2U5M8_CHICK	3	0.9999989704999734	Ig-like domain-containing protein	ENSGALG00000047227	A0A3Q2U5M8
165	Group of tr|A0A3Q2TYZ3|A0A3Q2TYZ3_CHICK Ig-like domain-containing protein OS=Gallus gallus (Chicken) OX=9031 GN=ENSGALG00000051485 PE=4 SV=1	tr|A0A3Q2TYZ3|A0A3Q2TYZ3_CHICK (+1)	4	0.9999989325300476	Ig-like domain-containing protein	ENSGALG00000051485	A0A3Q2TYZ3
166	tr|A0A1D5PJ08|A0A1D5PJ08_CHICK Nidogen 1 OS=Gallus gallus (Chicken) OX=9031 GN=NID1 PE=4 SV=3	tr|A0A1D5PJ08|A0A1D5PJ08_CHICK	15	0.99999887390004	Nidogen 1	NID1	A0A1D5PJ08
167	sp|O57579|AMPN_CHICK Aminopeptidase Ey OS=Gallus gallus (Chicken) OX=9031 GN=ANPEP PE=1 SV=2	sp|O57579|AMPN_CHICK	20	0.9999988480400361	Aminopeptidase Ey	ANPEP	O57579
168	Group of sp|P02263|H2A4_CHICK Histone H2A-IV OS=Gallus gallus (Chicken) OX=9031 GN=ENSGALG00000031571 PE=1 SV=2	sp|P02263|H2A4_CHICK (+3)	3	0.9999988237300386	Histone H2A-IV	ENSGALG00000031571	P02263
169	tr|E5G6H7|E5G6H7_CHICK ADP-ribosyl cyclase CD157 OS=Gallus gallus (Chicken) OX=9031 GN=BST1 PE=2 SV=1	tr|E5G6H7|E5G6H7_CHICK	5	0.999998752979991	ADP-ribosyl cyclase CD157	BST1	E5G6H7
170	tr|F1P2M6|F1P2M6_CHICK Uncharacterized protein OS=Gallus gallus (Chicken) OX=9031 GN=LOC419851 PE=4 SV=1	tr|F1P2M6|F1P2M6_CHICK	18	0.9999987299499935	Uncharacterized protein	LOC419851	F1P2M6
171	tr|A0A1L1RMF4|A0A1L1RMF4_CHICK Uncharacterized protein OS=Gallus gallus (Chicken) OX=9031 GN=ENSGALG00000051474 PE=4 SV=2	tr|A0A1L1RMF4|A0A1L1RMF4_CHICK	1	0.9999986271600392	Uncharacterized protein	ENSGALG00000051474	A0A1L1RMF4
172	tr|E1BY93|E1BY93_CHICK Uncharacterized protein OS=Gallus gallus (Chicken) OX=9031 GN=JCHAIN PE=4 SV=1	tr|E1BY93|E1BY93_CHICK	6	0.999998597130002	Uncharacterized protein	JCHAIN	E1BY93
173	tr|A0A3Q2TZD6|A0A3Q2TZD6_CHICK Ig-like domain-containing protein OS=Gallus gallus (Chicken) OX=9031 GN=ENSGALG00000048623 PE=4 SV=1	tr|A0A3Q2TZD6|A0A3Q2TZD6_CHICK	4	0.9999985641100011	Ig-like domain-containing protein	ENSGALG00000048623	A0A3Q2TZD6
174	Group of sp|P43233|CATB_CHICK Cathepsin B OS=Gallus gallus (Chicken) OX=9031 GN=CTSB PE=2 SV=1	sp|P43233|CATB_CHICK (+1)	12	0.9999984991400197	Cathepsin B	CTSB	P43233
175	tr|A0A3Q2UH03|A0A3Q2UH03_CHICK Ig-like domain-containing protein OS=Gallus gallus (Chicken) OX=9031 GN=ENSGALG00000048761 PE=4 SV=1	tr|A0A3Q2UH03|A0A3Q2UH03_CHICK	3	0.9999984764899637	Ig-like domain-containing protein	ENSGALG00000048761	A0A3Q2UH03
176	tr|A0A1D5NVS2|A0A1D5NVS2_CHICK Uncharacterized protein OS=Gallus gallus (Chicken) OX=9031 GN=CDH17 PE=4 SV=1	tr|A0A1D5NVS2|A0A1D5NVS2_CHICK	10	0.9999984486199764	Uncharacterized protein	CDH17	A0A1D5NVS2
177	tr|A0A1D5P6S4|A0A1D5P6S4_CHICK Uncharacterized protein OS=Gallus gallus (Chicken) OX=9031 GN=ENSGALG00000035914 PE=4 SV=2	tr|A0A1D5P6S4|A0A1D5P6S4_CHICK	10	0.9999984167800449	Uncharacterized protein	ENSGALG00000035914	A0A1D5P6S4
178	tr|A0A3Q2UDA5|A0A3Q2UDA5_CHICK Ig-like domain-containing protein OS=Gallus gallus (Chicken) OX=9031 GN=ENSGALG00000049726 PE=4 SV=1	tr|A0A3Q2UDA5|A0A3Q2UDA5_CHICK	3	0.9999982919699733	Ig-like domain-containing protein	ENSGALG00000049726	A0A3Q2UDA5
179	tr|F1NEQ4|F1NEQ4_CHICK A2M_recep domain-containing protein OS=Gallus gallus (Chicken) OX=9031 GN=ENSGALG00000014252 PE=4 SV=5	tr|F1NEQ4|F1NEQ4_CHICK	6	0.9999982777300147	A2M_recep domain-containing protein	ENSGALG00000014252	F1NEQ4
180	Group of sp|O73775|FBLN1_CHICK Fibulin-1 OS=Gallus gallus (Chicken) OX=9031 GN=FBLN1 PE=2 SV=2	sp|O73775|FBLN1_CHICK (+1)	15	0.9999981595999543	Fibulin-1	FBLN1	O73775
181	tr|A0A1D5P167|A0A1D5P167_CHICK Folate gamma-glutamyl hydrolase OS=Gallus gallus (Chicken) OX=9031 GN=GGH PE=4 SV=1	tr|A0A1D5P167|A0A1D5P167_CHICK	6	0.9999981508400424	Folate gamma-glutamyl hydrolase	GGH	A0A1D5P167
182	tr|A0A3Q2UCY6|A0A3Q2UCY6_CHICK Uncharacterized protein OS=Gallus gallus (Chicken) OX=9031 GN=LOC776594 PE=4 SV=1	tr|A0A3Q2UCY6|A0A3Q2UCY6_CHICK	6	0.9999980990199901	Uncharacterized protein	LOC776594	A0A3Q2UCY6
183	tr|R4GMH5|R4GMH5_CHICK Plasminogen OS=Gallus gallus (Chicken) OX=9031 GN=LOC428593 PE=3 SV=1	tr|R4GMH5|R4GMH5_CHICK	25	0.9999980870400123	Plasminogen	LOC428593	R4GMH5
184	tr|A0A1D5P5L2|A0A1D5P5L2_CHICK Coagulation factor V OS=Gallus gallus (Chicken) OX=9031 GN=F5 PE=3 SV=3	tr|A0A1D5P5L2|A0A1D5P5L2_CHICK	51	0.9999980268601121	Coagulation factor V	F5	A0A1D5P5L2
185	Group of sp|P53760|LCAT_CHICK Phosphatidylcholine-sterol acyltransferase OS=Gallus gallus (Chicken) OX=9031 GN=LCAT PE=1 SV=1	sp|P53760|LCAT_CHICK (+1)	8	0.9999979754300057	Phosphatidylcholine-sterol acyltransferase	LCAT	P53760
186	tr|A0A1D5P6B0|A0A1D5P6B0_CHICK Procollagen C-endopeptidase enhancer OS=Gallus gallus (Chicken) OX=9031 GN=ENSGALG00000033867 PE=4 SV=2	tr|A0A1D5P6B0|A0A1D5P6B0_CHICK	3	0.9999979233000431	Procollagen C-endopeptidase enhancer	ENSGALG00000033867	A0A1D5P6B0
187	tr|E1C7H6|E1C7H6_CHICK SERPIN domain-containing protein OS=Gallus gallus (Chicken) OX=9031 GN=SERPINF1 PE=3 SV=2	tr|E1C7H6|E1C7H6_CHICK	15	0.9999978760499744	SERPIN domain-containing protein	SERPINF1	E1C7H6
188	tr|F1NHI4|F1NHI4_CHICK Sod_Cu domain-containing protein OS=Gallus gallus (Chicken) OX=9031 GN=SOD3 PE=4 SV=4	tr|F1NHI4|F1NHI4_CHICK	4	0.9999978696400831	Sod_Cu domain-containing protein	SOD3	F1NHI4
189	tr|Q9DDD4|Q9DDD4_CHICK C-type lectin domain-containing protein OS=Gallus gallus (Chicken) OX=9031 GN=CLEC3B PE=2 SV=1	tr|Q9DDD4|Q9DDD4_CHICK	7	0.9999978387199917	C-type lectin domain-containing protein	CLEC3B	Q9DDD4
190	tr|E1BSP0|E1BSP0_CHICK C1q domain-containing protein OS=Gallus gallus (Chicken) OX=9031 GN=C1QA PE=4 SV=2	tr|E1BSP0|E1BSP0_CHICK	3	0.9999978205100888	C1q domain-containing protein	C1QA	E1BSP0
191	tr|A0A3Q2U9R3|A0A3Q2U9R3_CHICK Vasorin OS=Gallus gallus (Chicken) OX=9031 GN=VASN PE=4 SV=1	tr|A0A3Q2U9R3|A0A3Q2U9R3_CHICK	6	0.9999978126099904	Vasorin	VASN	A0A3Q2U9R3
192	tr|A0A1D5PHL0|A0A1D5PHL0_CHICK Proteasome subunit alpha type OS=Gallus gallus (Chicken) OX=9031 GN=PSMA2 PE=3 SV=1	tr|A0A1D5PHL0|A0A1D5PHL0_CHICK	4	0.9999977534300797	Proteasome subunit alpha type	PSMA2	A0A1D5PHL0
193	Group of sp|Q90839|DKK3_CHICK Dickkopf-related protein 3 OS=Gallus gallus (Chicken) OX=9031 GN=DKK3 PE=2 SV=1	sp|Q90839|DKK3_CHICK (+1)	6	0.999997725150024	Dickkopf-related protein 3	DKK3	Q90839
194	sp|Q6QLQ9|GLL10_CHICK Gallinacin-10 OS=Gallus gallus (Chicken) OX=9031 GN=GAL10 PE=2 SV=1	sp|Q6QLQ9|GLL10_CHICK	1	0.9999976841199896	Gallinacin-10	GAL10	Q6QLQ9
195	tr|A0A3Q2U8E0|A0A3Q2U8E0_CHICK Ig-like domain-containing protein OS=Gallus gallus (Chicken) OX=9031 GN=ENSGALG00000050023 PE=4 SV=1	tr|A0A3Q2U8E0|A0A3Q2U8E0_CHICK	3	0.9999974224599555	Ig-like domain-containing protein	ENSGALG00000050023	A0A3Q2U8E0
196	tr|A0A1D5PLI8|A0A1D5PLI8_CHICK Ig-like domain-containing protein OS=Gallus gallus (Chicken) OX=9031 GN=BLB1 PE=4 SV=1	tr|A0A1D5PLI8|A0A1D5PLI8_CHICK	5	0.999997416279939	Ig-like domain-containing protein	BLB1	A0A1D5PLI8
